,job_titles,companys,location,employment_type,gov_support,salary,salary_unit,links,industrys
182,Lead Data Scientist,TOOKITAKI HOLDING PTE. LTD.,Central,Middle Management,NA,"$12,000to$15,000",Monthly,https://www.mycareersfuture.sg/job/lead-data-scientist-tookitaki-holding-5b5032d89f9ef6d738b1c36cda25bf4f,Information Technology
183,"Specialist, Business Operations COE",MSD INTERNATIONAL GMBH (SINGAPORE BRANCH),West,Professional,NA,"$4,800to$7,200",Monthly,https://www.mycareersfuture.sg/job/specialist-business-operations-coe-msd-international-gmbh-9f8d62909b96e3d7466c9c1c908e4d52,Healthcare / Pharmaceutical
184,Deputy Director,NATIONAL UNIVERSITY OF SINGAPORE,South,Senior Management ...,NA,Salary undisclosed,,https://www.mycareersfuture.sg/job/deputy-director-national-university-singapore-6b6e9f980bfe8a84a856aaf1c6f21457,General Management ...
185,Research Engineer (Human language Technologies) /  I2R (A*STAR),A*STAR RESEARCH ENTITIES,South,Professional,NA,"$2,500to$5,000",Monthly,https://www.mycareersfuture.sg/job/research-engineer-i2r-astar-research-entities-35841c5db0e076ba172e2c4cf417ee52,Sciences / Laboratory / R&D
186,Research Fellow,NANYANG TECHNOLOGICAL UNIVERSITY,West,Professional,NA,"$4,500to$6,500",Monthly,https://www.mycareersfuture.sg/job/research-fellow-nanyang-technological-university-d6749e3d6e1d5f180731237e37d646d8,Sciences / Laboratory / R&D
187,"Scientist (Deep Learning 2.0), I2R / A*STAR",A*STAR RESEARCH ENTITIES,South,Professional,NA,"$4,500to$9,000",Monthly,https://www.mycareersfuture.sg/job/scientist-i2r-astar-astar-research-entities-c2ff59da8ad9e3b133d1587e92e4c24d,Sciences / Laboratory / R&D
188,"Admin Officer, I2R / A*STAR",A*STAR RESEARCH ENTITIES,South,Professional,NA,"$2,500to$5,000",Monthly,https://www.mycareersfuture.sg/job/admin-officer-i2r-astar-astar-research-entities-48fd661cdabea301a235cc034f354249,Sciences / Laboratory / R&D
189,"Scientist (Deep Learning 2.0), I2R / A*STAR",A*STAR RESEARCH ENTITIES,South,Professional,NA,"$4,500to$9,000",Monthly,https://www.mycareersfuture.sg/job/scientist-i2r-astar-astar-research-entities-f67c0b817420bcae56a180bf5d868f52,Sciences / Laboratory / R&D
190,"Scientist (Deep Learning 2.0), I2R / A*STAR",A*STAR RESEARCH ENTITIES,South,Professional,NA,"$4,500to$9,000",Monthly,https://www.mycareersfuture.sg/job/scientist-i2r-astar-astar-research-entities-ac2eac084120e2a67448d180b6ec6c0a,Sciences / Laboratory / R&D
191,"Scientist (Human Language Technologies, I2R / A*STAR)",A*STAR RESEARCH ENTITIES,South,Professional,NA,"$4,500to$9,000",Monthly,https://www.mycareersfuture.sg/job/scientist-astar-research-entities-24be72fbc2b57638905be7fc41acaa07,Sciences / Laboratory / R&D
192,"Key Account Manager ($3500 – 5500, 5 Days, River Valley)",MACHSPEED HUMAN RESOURCES PTE. LTD.,Central,Executive,NA,"$3,500to$5,500",Monthly,https://www.mycareersfuture.sg/job/key-account-manager-machspeed-human-resources-696b0e199ac75cc70d485528e1f9308d,Information Technology ...
193,Information Technology Project Manager,IT WORKS CONSULTANCY PTE LTD,NA,Manager,NA,"$5,500to$6,500",Monthly,https://www.mycareersfuture.sg/job/information-technology-project-manager-works-consultancy-3bb8a815f8ae76472194c501841965b9,Information Technology
194,"Key Account Manager ($3500 – 5500, 5 Days, River Valley)",MACHSPEED HUMAN RESOURCES PTE. LTD.,Central,Executive,NA,"$3,500to$5,500",Monthly,https://www.mycareersfuture.sg/job/key-account-manager-machspeed-human-resources-578d340239c9396108c2b37e634cee37,Information Technology ...
195,Assistant Professor,NATIONAL UNIVERSITY OF SINGAPORE,South,Professional,NA,"$10,000to$13,000",Monthly,https://www.mycareersfuture.sg/job/assistant-professor-national-university-singapore-101b528681f5c55e9572a972d086e635,Education and Training
196,"Key Account Manager ($3500 – 5500, 5 Days, River Valley)",MACHSPEED HUMAN RESOURCES PTE. LTD.,Central,Executive,NA,"$3,500to$5,500",Monthly,https://www.mycareersfuture.sg/job/key-account-manager-machspeed-human-resources-280e3111b03497035ae2a4d99fc6d449,Information Technology ...
197,Senior Technology Specialist,SYNECHRON TECHNOLOGIES SINGAPORE PTE. LTD.,Central,Manager ...,NA,"$120,000to$240,000",Annually,https://www.mycareersfuture.sg/job/senior-technology-specialist-synechron-technologies-singapore-f8327920c81525f8a846ef96338340ad,Banking and Finance
198,Senior Software Developer,KG INFORMATION SYSTEMS PTE. LTD.,Central,Professional,NA,"$6,500to$8,500",Monthly,https://www.mycareersfuture.sg/job/senior-software-developer-kg-information-systems-eb7dce7c796307669333cad279e72921,Information Technology
199,"Key Account Manager ($3500 – 5500, 5 Days, River Valley)",MACHSPEED HUMAN RESOURCES PTE. LTD.,Central,Executive,NA,"$3,500to$5,500",Monthly,https://www.mycareersfuture.sg/job/key-account-manager-machspeed-human-resources-1d0b8e51a614340a85a686f7ce1ab57f,Information Technology ...
200,Researcher,NEC ASIA PACIFIC PTE. LTD.,Central,Professional,NA,"$5,000to$7,000",Monthly,https://www.mycareersfuture.sg/job/researcher-nec-asia-pacific-37756f6fa4f0f288cdbf27f152c6361e,Information Technology
201,Senior Application Designer - Lead / Senior UX Designer,PALO IT SINGAPORE PTE. LTD.,Central,Manager ...,NA,"$7,000to$14,000",Monthly,https://www.mycareersfuture.sg/job/senior-application-designer-lead-senior-ux-designer-palo-singapore-ae3a49cc7d4c7cd2f0f61df8d86c5952,Information Technology
202,"Key Account Manager ($3500 – 5500, 5 Days, River Valley)",MACHSPEED HUMAN RESOURCES PTE. LTD.,Central,Executive,NA,"$3,500to$5,500",Monthly,https://www.mycareersfuture.sg/job/key-account-manager-machspeed-human-resources-9af47d2dab06ba7dd604ab00df3221a1,Information Technology ...
203,"Senior Associate, PCF Developer, Middle Office Technology, Technology and Operations (WD02453)",DBS BANK LTD.,East,Senior Executive,NA,"$5,000to$9,000",Monthly,https://www.mycareersfuture.sg/job/senior-associate-pcf-developer-middle-office-technology-technology-operations-dbs-bank-19235eccc10271e54903f3575a313b1a,Information Technology
204,Lead Project Manager,TOOKITAKI HOLDING PTE. LTD.,Central,Middle Management,NA,"$9,000to$15,000",Monthly,https://www.mycareersfuture.sg/job/lead-project-manager-tookitaki-holding-8eec6817c35a843097fb6700ccbd59d8,Engineering
205,Director of Applications,TOOKITAKI HOLDING PTE. LTD.,Central,Senior Management,NA,"$15,000to$20,000",Monthly,https://www.mycareersfuture.sg/job/director-applications-tookitaki-holding-c4a3ad8479bb2908ac297eeae076881b,Engineering
206,Application Developer,PALO IT SINGAPORE PTE. LTD.,Central,Executive,NA,"$5,000to$10,000",Monthly,https://www.mycareersfuture.sg/job/application-developer-palo-singapore-c898bedb1e8a5e44466db28615f2ddde,Information Technology
207,Application Developer,PALO IT SINGAPORE PTE. LTD.,Central,Executive,NA,"$5,000to$10,000",Monthly,https://www.mycareersfuture.sg/job/application-developer-palo-singapore-804d7c46ab4da5e8d1e63419b5766555,Information Technology
208,Infrastructure Engineer - Junior DevOps,PALO IT SINGAPORE PTE. LTD.,Central,Junior Executive,NA,"$4,000to$8,000",Monthly,https://www.mycareersfuture.sg/job/infrastructure-engineer-junior-devops-palo-singapore-bd40723304ad998e0112172698ed087a,Information Technology
209,"Key Account Manager ($3500 – 5500, 5 Days, River Valley)",MACHSPEED HUMAN RESOURCES PTE. LTD.,Central,Executive,NA,"$3,500to$5,500",Monthly,https://www.mycareersfuture.sg/job/key-account-manager-machspeed-human-resources-ec51dd45f0317b771a21d7a61c27ecf3,Information Technology ...
210,DevOps Engineer,TOOKITAKI HOLDING PTE. LTD.,Central,Middle Management,NA,"$7,000to$12,000",Monthly,https://www.mycareersfuture.sg/job/devops-engineer-tookitaki-holding-feb1cd2dfc93dc463f36ce09e19dd3be,Engineering
211,Back-end Engineer,TOOKITAKI HOLDING PTE. LTD.,Central,Middle Management,NA,"$7,000to$15,000",Monthly,https://www.mycareersfuture.sg/job/back-end-engineer-tookitaki-holding-97b781899403c9eb3c1b44838212e50a,Engineering
212,Senior Solution Architect,TOOKITAKI HOLDING PTE. LTD.,Central,Middle Management,NA,"$9,000to$15,000",Monthly,https://www.mycareersfuture.sg/job/senior-solution-architect-tookitaki-holding-5f824c05e10766926246fa69c722be54,Engineering
213,Senior Enterprise Architect,TOOKITAKI HOLDING PTE. LTD.,Central,Middle Management,NA,"$10,000to$15,000",Monthly,https://www.mycareersfuture.sg/job/senior-enterprise-architect-tookitaki-holding-ed49cc0a22466aab0579f4aff03d2a97,Engineering
214,"VP, Enterprise Architect",TOOKITAKI HOLDING PTE. LTD.,Central,Senior Management,NA,"$15,000to$20,000",Monthly,https://www.mycareersfuture.sg/job/vp-enterprise-architect-tookitaki-holding-c60823196aa949516c01cd9d53b6c7ff,Engineering
215,"Key Account Manager - IT solutions ($3500 – 5500, 5 Days, River Valley)",MACHSPEED HUMAN RESOURCES PTE. LTD.,Central,Professional,NA,"$3,500to$5,500",Monthly,https://www.mycareersfuture.sg/job/key-account-manager-solutions-machspeed-human-resources-a838ea0b30c038bbe72bc04aec57b97b,Information Technology ...
216,Research Fellow,NANYANG TECHNOLOGICAL UNIVERSITY,West,Professional,NA,"$4,500to$7,000",Monthly,https://www.mycareersfuture.sg/job/research-fellow-nanyang-technological-university-105e1a7a5f2d3c480144bb2de64d86d9,Engineering ...
217,"Key Account Manager ($3500 – 5500, 5 Days, River Valley)",MACHSPEED HUMAN RESOURCES PTE. LTD.,Central,Executive,NA,"$3,500to$5,500",Monthly,https://www.mycareersfuture.sg/job/key-account-manager-machspeed-human-resources-1f93669151085a2a4acb8be5e086a9e3,Information Technology ...
218,Faculty Positions in Construction Automation - Civil Engineering,NATIONAL UNIVERSITY OF SINGAPORE,South,Professional,NA,"$7,500to$15,000",Monthly,https://www.mycareersfuture.sg/job/faculty-positions-construction-automation-civil-engineering-national-university-singapore-04d1a35ce88876b91fd74a85e3752aeb,Education and Training
219,"Key Account Manager ($3500 – 5500, 5 Days, River Valley)",MACHSPEED HUMAN RESOURCES PTE. LTD.,Central,Executive,NA,"$3,500to$5,500",Monthly,https://www.mycareersfuture.sg/job/key-account-manager-machspeed-human-resources-e7b2bfa61e138ba70414e40e928ac3c9,Information Technology ...
220,Senior Developer  /  Project Manager,MCI CAREER  SERVICES PTE. LTD.,East,Senior Executive,NA,"$8,000to$10,000",Monthly,https://www.mycareersfuture.sg/job/senior-developer-project-manager-mci-career-services-6e6029d2b839c4e0359af8076ee78f44,Information Technology
221,"Key Account Manager - IT solutions ($3500 – 5500, 5 Days, River Valley)",MACHSPEED HUMAN RESOURCES PTE. LTD.,Central,Professional,NA,"$3,500to$5,500",Monthly,https://www.mycareersfuture.sg/job/key-account-manager-solutions-machspeed-human-resources-16e46e0068460885e079c14c0cf3857f,Information Technology ...
222,"Key Account Manager ($3500 – 5500, 5 Days, River Valley)",MACHSPEED HUMAN RESOURCES PTE. LTD.,Central,Executive,NA,"$3,500to$5,500",Monthly,https://www.mycareersfuture.sg/job/key-account-manager-machspeed-human-resources-db65072f5c0dea1cee59c2450f7b211c,Information Technology ...
223,"Key Account Manager ($3500 – 5500, 5 Days, River Valley)",MACHSPEED HUMAN RESOURCES PTE. LTD.,Central,Executive,NA,"$3,500to$5,500",Monthly,https://www.mycareersfuture.sg/job/key-account-manager-machspeed-human-resources-93ef618b158de7ab6a4def9349646a28,Information Technology ...
224,Lead Reseacher,TOOKITAKI HOLDING PTE. LTD.,Central,Middle Management,NA,"$8,000to$14,000",Monthly,https://www.mycareersfuture.sg/job/lead-reseacher-tookitaki-holding-4803299b9456bbb2603c84ba8eda4cb5,Information Technology
225,Business Analyst,TOOKITAKI HOLDING PTE. LTD.,Central,Middle Management,NA,"$7,000to$12,000",Monthly,https://www.mycareersfuture.sg/job/business-analyst-tookitaki-holding-6ce49fa4fb668ce6b0e2f4d8c9464ba2,Information Technology
