,job_titles,companys,location,employment_type,gov_support,salary,salary_unit,links,industrys
72,Data Scientist,REFINITIV ASIA PTE. LTD.,Islandwide,Professional,NA,"$10,000to$15,000",Monthly,https://www.mycareersfuture.sg/job/data-scientist-refinitiv-asia-eada99c95a729659ee3784a39df98937,Banking and Finance
73,Data Scientist,OVERSEA-CHINESE BANKING CORPORATION LIMITED,Central,Professional,NA,"$8,000to$15,000",Monthly,https://www.mycareersfuture.sg/job/data-scientist-oversea-chinese-banking-corporation-71a95ed0b1d08037a0be239fe59b237f,Banking and Finance
74,"AVP, Data Scientist, Analytics & Innovation, Group Legal, Compliance and Secretariat (WD03653)",DBS BANK LTD.,East,Senior Management,NA,"$6,500to$11,700",Monthly,https://www.mycareersfuture.sg/job/avp-data-scientist-analytics-innovation-group-legal-compliance-secretariat-dbs-bank-2dc6e7ce9e62a4a4900b21681851d21c,Information Technology
75,Data Scientist,ACCELA RECRUITMENT SERVICES PTE. LTD.,South,Executive,NA,"$6,500to$8,000",Monthly,https://www.mycareersfuture.sg/job/data-scientist-zyllem-9acd11ea653fb18078686b618cdf553e,Logistics / Supply Chain
76,Data Scientist (Economist),GRABTAXI HOLDINGS PTE. LTD.,"North, Central",Executive,NA,"$5,000to$8,000",Monthly,https://www.mycareersfuture.sg/job/data-scientist-grabtaxi-holdings-fde7cbe071fb484360929952bb84346a,Others
77,Senior Data Scientist,TOOKITAKI HOLDING PTE. LTD.,Central,Middle Management,NA,"$10,000to$15,000",Monthly,https://www.mycareersfuture.sg/job/senior-data-scientist-tookitaki-holding-395580c3119b6ab9df765ccca205970e,Information Technology
78,Lead Data Scientist,TOOKITAKI HOLDING PTE. LTD.,Central,Middle Management,NA,"$12,000to$15,000",Monthly,https://www.mycareersfuture.sg/job/lead-data-scientist-tookitaki-holding-5b5032d89f9ef6d738b1c36cda25bf4f,Information Technology
79,Data Scientist,COLLABERA TECHNOLOGIES PTE. LTD.,South,Senior Executive,NA,"$6,000to$7,800",Monthly,https://www.mycareersfuture.sg/job/data-scientist-collabera-technologies-fdb69ffb2687f1fc43f02b1af5ed3728,Information Technology
80,Data Scientist,GREEN LIGHT PROFESSIONAL SERVICES (SINGAPORE) PTE. LTD.,NA,Professional,NA,"$6,000to$10,000",Monthly,https://www.mycareersfuture.sg/job/data-scientist-green-light-professional-services-de0a566a5955a253486346dd9433013c,Information Technology ...
81,Data Scientist,NUVISTA TECHNOLOGIES PTE. LTD.,Central,Senior Executive,NA,"$5,500to$8,000",Monthly,https://www.mycareersfuture.sg/job/data-scientist-nuvista-technologies-fe74a944e6006986a757a8f81f17eb88,Information Technology
82,Senior Data Scientist,MICROSEC PTE. LTD.,NA,Senior Management,NA,"$4,500to$6,500",Monthly,https://www.mycareersfuture.sg/job/senior-data-scientist-microsec-35100f134dc2969b86a7c83b3d4ac596,Telecommunications
83,"Sr Data Scientist (Exp in ML, Python, R and Bidata Tech is Must)",OPTIMUM SOLUTIONS (SINGAPORE) PTE LTD,Central,Senior Executive,NA,"$7,000to$9,000",Monthly,https://www.mycareersfuture.sg/job/sr-data-scientist-optimum-solutions-27a73532131a86d0259f97e0a64127d4,Information Technology
84,"Data Scientist (SAS, Python)",OPTIMUM SOLUTIONS (SINGAPORE) PTE LTD,Central,Middle Management,NA,"$5,000to$7,500",Monthly,https://www.mycareersfuture.sg/job/data-scientist-optimum-solutions-63455ef60186ec1b886a1cc4edd0b329,Information Technology
85,Data Scientist,MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD,South,Fresh/entry level,NA,"$4,000to$5,000",Monthly,https://www.mycareersfuture.sg/job/data-scientist-manpower-staffing-services-0679319f1b3cc752d35f4603b40ec803,Information Technology
86,"PI, Enterprise Intelligence (Data Scientist) Senior Manager (Financial Services), Advisory SG",ERNST & YOUNG ADVISORY PTE. LTD.,Central,Middle Management,NA,"$8,000to$16,000",Monthly,https://www.mycareersfuture.sg/job/pi-enterprise-intelligence-senior-manager-advisory-sg-ernst-young-advisory-b9666971691e45ec8ceec81be33221c9,Banking and Finance ...
87,Data Scientist,ENVOY SEARCH PARTNERS PTE. LIMITED,NA,Executive,NA,"$6,000to$8,000",Monthly,https://www.mycareersfuture.sg/job/data-scientist-envoy-search-partners-a0f734139150bcc07977a121dbcda0fc,Banking and Finance ...
88,Research Scientist  /  Senior Research Scientist (Ensemble Data Assimilation),National Environment Agency,NA,Professional,NA,"$4,735to$8,305",Monthly,https://www.mycareersfuture.sg/job/research-scientist-senior-research-scientist-national-environment-agency-939ca7238c776447c16633fbcf46f3c9,Public / Civil Service
89,Office of Planning - Manager (Data Analyst / Scientist),Republic Polytechnic,NA,NA,NA,"$5,700to$6,300",Monthly,https://www.mycareersfuture.sg/job/office-planning-manager-republic-polytechnic-ba6127e745a10ce5155e458624a308bb,Education and Training ...
90,"Scientist (Data Analytics), I2R / A*STAR",A*STAR RESEARCH ENTITIES,South,Professional,NA,"$4,500to$9,000",Monthly,https://www.mycareersfuture.sg/job/scientist-i2r-astar-astar-research-entities-9a470067ba8b2a1d384ee45207802515,Sciences / Laboratory / R&D
91,"Scientist (Data Analytics), I2R / A*STAR",A*STAR RESEARCH ENTITIES,South,Professional,NA,"$4,500to$9,000",Monthly,https://www.mycareersfuture.sg/job/scientist-i2r-astar-astar-research-entities-a05eddf950778631729fff5146cdee35,Sciences / Laboratory / R&D
92,Data Transformation Scientist,PROCTER & GAMBLE INTERNATIONAL OPERATIONS SA SINGAPORE BRANCH,South,Fresh/entry level ...,NA,"$5,100to$8,500",Monthly,https://www.mycareersfuture.sg/job/data-transformation-scientist-procter-gamble-international-operations-sa-singapore-branch-551cff833f144a834a4bb16efbb3ba63,Engineering ...
93,Data Analyst / Scientist,NATIONAL UNIVERSITY OF SINGAPORE,South,Executive,NA,"$6,000to$7,000",Monthly,https://www.mycareersfuture.sg/job/data-analyst-scientist-national-university-singapore-469ab1a008e03f6c497d4328b77493bd,Education and Training ...
94,Applied Data Science Associate,DATAROBOT SINGAPORE PTE. LTD.,Central,Professional,NA,"$90,000to$150,000",Annually,https://www.mycareersfuture.sg/job/applied-data-science-associate-datarobot-singapore-f435347c5bb57a365a10f5a441f14f6f,Information Technology
95,Big Data Engineer,BIOFOURMIS SINGAPORE PTE. LTD.,West,Senior Executive,NA,"$5,200to$6,700",Monthly,https://www.mycareersfuture.sg/job/big-data-engineer-biofourmis-singapore-da5fe40ce8998abe2e3646825351e2ae,Engineering
96,Head (Data Architect),Accountant-General's Department,NA,NA,NA,Salary undisclosed,,https://www.mycareersfuture.sg/job/head-accountant-generals-department-cb19026c04d291f44112432e6550e2e9,Accounting / Auditing / Taxation ...
97,Presales Specialist - Data Science,SAP ASIA PTE. LTD.,South,Professional,NA,"$6,000to$8,000",Monthly,https://www.mycareersfuture.sg/job/presales-specialist-data-science-sap-asia-e29935b68cb10990b9920fead69107e7,Consulting 
